Code,Barcode,Description,Product Weight,Price/Unit,Price/Case,"Unit  
105-203,651536952860,Zaatar Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-207,651536953027,Citric Acid,9.5oz,$4.00,$24.00,6Unit,B.A.H.
105-180,651536952754,Mustard Seed,6.0oz,$4.00,$24.00,6Unit,B.A.H.
105-181,651536952914,Ground Caraway,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-183,651536952723,Nutmeg,4.6oz,$4.00,$24.00,6Unit,B.A.H.
105-184,651536952891,Ground Ginger,3.5oz,$4.00,$24.00,6Unit,B.A.H.
105-188,651536952754,Ground Cinnamon,4.6oz,$4.00,$24.00,6Unit,B.A.H.
105-189,651536953065,Cinnamon Sticks,2.8oz,$4.00,$24.00,6Unit,B.A.H.
105-161,651536952921,Bay Leaves,0.7oz,$4.00,$24.00,6Unit,B.A.H.
105-162,651536952853,Parsley Leaves,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-163,651536952976,Cilantro,0.7oz,$4.00,$24.00,6Unit,B.A.H.
105-166,651536952983,Dill Weed,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-168,651536952792,Oregano,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-169,651536952969,Basil Leaves,1.75oz,$4.00,$24.00,6Unit,B.A.H.
105-171,651536953102,Thyme,1.75oz,$4.00,$24.00,6Unit,B.A.H.
105-172,651536952952,Rosemary,2.1oz,$4.00,$24.00,6Unit,B.A.H.
105-173,,Mint,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-174,651536952785,Ground Cloves,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-215,651536953140,B.B.Q Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-212,651536953133,Shawarma Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-214,651536953119,Fish Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-252,651536955007,Sweet Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-253,651536955014,Moroccan Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-254,651536955021,Coarse Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-255,651536955045,Hot Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-256,651536955038,Hot Moroccan Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-271,651536952013,Turmeric,10.5oz,$6.50,$58.50,9Unit,Landau
105-272,651536952020,Cumin,10.5oz,$6.50,$58.50,9Unit,Landau
105-268,651536955106,Coarse Black Pepper,10.5oz,$7.50,$67.50,9Unit,Landau
105-295,651536955052,"Sweet Whole Chili  
Pepper",5.0oz,$4.00,$40.00,10Unit,Landau
105-296,651536955069,Hot Whole Chili Pepper,5.0oz,$4.00,$40.00,10Unit,Landau
F105-648,651536954949,Pickled Lemon  Spread,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-647,651536954963,Pickled Mango  Spread,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-644,651536954918,Spicy Harissa,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-643,651536954901,Sweet Harissa,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-646,651536954956,Minced Garlic,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-642,,Tchuma Pepper,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-641,651536954932,"Green  
S’chug",8.8oz,$4.00,$48.00,12 Unit,Landau
"

",,,,,,,
28,,,,,,,
"
",,,,,,,
F105-651,,Pepper Paste,8.8oz,$4.00,$48.00,12 Unit,
F105-652,,Lemon Spread,8.8oz,$4.00,$48.00,12 Unit,
F105-653,,"Hot Pepper  
Spread",8.8oz,$4.00,$48.00,12 Unit,
F105-645,651536954970**,Chimichurri,8.8oz,$4.00,$48.00,12 Unit,
"

",,,,,,,
 ,,,,,,,
Jasmine Gourmet Frozen Retail Products,,,,,,,
"
",,,,,,,
F110-302,651536952235,Spicy Beef Cigars,12oz,$12.00,$144.00,12Unit,O.U. Glatt
F110-303,644287992315,Chicken Cigars,10oz,$12.00,$144.00,12 Unit,O.U. Glatt
F110-308,644287992384,Beef Kebbe,16oz,$12.00,$144.00,14Unit,O.U. Glatt
F110-317,644287992339,Meat Empanada,8oz,$12.00,$144.00,12 Unit,O.U. Glatt
F110-319,651536947729,Mini Meat Pizza,15oz,$12.00,$144.00,12 Unit,O.U. Glatt
F110-606,,Meatless Meatballs in Sauce,21oz,$5.50,$44.00,8 Unit,B.A.H
F110-611,,Vegan Burger,21oz,$5.50,$44.00,8 Unit,B.A.H
F110-618,,Vegan Mini Aryes,"8x10 
pk",$10.00,$80.00,8x10pk,B.A.H
F110-621,,Vegan Shawarma Wrap,"8x3 
pk",$26.66,$80.00,8x3pk,B.A.H
F110-622,,Vegan Shawarma,14oz,$6.00,$72.00,12 Unit,B.A.H
F110-637,,Vegetarian Stuffed Peppers,21oz,$6.50,$39.00,6 Unit,B.A.H
"

",,,,,,,
29,,,,,,,
"
",,,,,,,
F120-101,7290005506277,Malawach 5pc,800gr,$5.00,$60.00,12 Unit,B.A.H.
F120-103,7290005506260,Jachnuun 6pc,800gr,$5.00,$60.00,12 Unit,B.A.H.
F120-104,7290005506253,Baked Jachnun 6pc,800gr,$5.00,$60.00,12 Unit,B.A.H.
F120-141,7290005506291,Couscous,28oz,$5.00,$60.00,12 Unit,B.A.H.
F120-143,,Falafel Balls,28oz,$5.00,$60.00,12 Unit,B.A.H.
-F120-163,7290005506321,Potato Bourekas,28oz,$5.00,$60.00,12 Unit,B.A.H.
F120-165,7290005506376,Pizza Bourekas,28oz,$5.00,$60.00,12 Unit,B.A.H.
F120-166,7290005506338,Mushroom Bourekas,28oz,$5.00,$60.00,12 Unit,B.A.H.
F120-121,7290005506284,Puff Pastry Dough,28oz,$5.00,$60.00,12 Unit,B.A.H.
F120-149,,Falafel Balls,14oz,$5.00,$60.00,12 Unit,OK
"

",,,,,,,
 ,,,,,,,
King Star Foods ,,,,,,,
"
",,,,,,,
100-362,647297431515,King Whole Tahini,16oz,$3.25,$39.00,12 Unit,Landau
"

",,,,,,,
30,,,,,,,
"
",,,,,,,
100-369,647297431492,King Tahini,32oz,$5.00,$60.00,12Unit,Landau
100-361,6-47297-43148-5**,"Tahini 
12x16oz B.A.H. 
100-361",16oz,$3.00,$36.00,12Unit,B.A.H.
100-433,647297431881,Olive Oil Blend,34oz,$4.50,$54.00,12Unit,O.K.
100-442,647297431898,Grape Seed Oil,34oz,$4.50,$54.00,12Unit,O.K.
100-753,608866214564,Sunflower Seeds,7oz,$2.00,$40.00,20unit,H. Soffer
100-754,608866214571,Unsalted Sunflower Seeds,7oz,$2.00,$40.00,20unit,H. Soffer
"

",,,,,,,
330-521,,Har Bracha Tahini,500g,$5.20,$125.00,24 Unit,B.A.H
"

",,,,,,,
 ,,,,,,,
Yachin -Tomato Pastes and Sauces,,,,,,,
"
",,,,,,,
200-201,7290002111085,Tomato Paste,100 g,$0.56,$27.00,48 Unit,Badatz
200-202,7290000208336,Tomato Paste,260 g,$1.12,$27.00,24 Unit,Badatz
200-222,7290013010032,Shakshuka Sauce,260 g,$1.25,$30.00,24 Unit,Badatz
"

",,,,,,,
31,,,,,,,
"
",,,,,,,
Eden - Canned Vegetables ,,,,,,,
"
",,,,,,,
200-951,7290010962082,Corn,20oz,$2.00,$24.00,12 Unit,H.Soffer
200-952,7290010962051,Chick Peas,20oz,$1.75,$24.00,12 Unit,H.Soffer
200-953,7290010962303,Garden Peas,20oz,$1.75,$21.00,12 Unit,H.Soffer
200-954,7290010962075,Peas &Carrots,20oz,$1.75,$21.00,12 Unit,H.Soffer
200-955,7290010962198,White Baked Beans,20oz,$2.00,$24.00,12 Unit,H.Soffer
200-957,7290010962044,Egyptian Fava Beans,20oz,$2.00,$24.00,12 Unit,H.Soffer
200-959,7290010962112,Harisa,20oz,$2.00,$24.00,12 Unit,H.Soffer
200-399,7290000218502,Vita Cholent Beans,20oz,$3.00,$72.00,24 Unit,
"

",,,,,,,
Eden - Pickles & Olives,,,,,,,
"
",,,,,,,
200-801,7290010692163,Cucumber In Brine 7-9,"A2 
20% EX",$1.75,$21.00,12 Unit,H.Soffer
200-802,7290012453182,Cucumber In Brine 13-17,"A2 
20% EX",$2.75,$33.00,12 Unit,H.Soffer
"

",,,,,,,
32,,,,,,,
"
",,,,,,,
200-803,7290012453441,Cucumber In Brine 18-25,"A2 
20% EX",$3.00,$36.00,12 Unit,H.Soffer
200-821,7290012453427,Green Olives Manzalino,A2,$2.00,$24.00,12 Unit,H.Soffer
200-822,7290012453403,Syrian Cracked Olives,A2,$2.75,$36.00,12 Unit,H.Soffer
200-823,7290012453410,Green Olive Pitted,A2,$2.50,$30.00,12 Unit,H.Soffer
"

",,,,,,,
Zahi,,,,,,,
"
",,,,,,,
500-959,7290001781357,Zaatar Seasoning,400g,$7.50,$75.00,10 Unit,H.Soffer
500-958,7290016074130,Verbena Leaves (Louisa),50g,$7.00,$70.00,10Unit,H.Soffer
500-943,7290016074147,Hawiij,400g,$6.50,$39.00,6Unit,H.Soffer
500-945,7290001781333,Ground Turmeric,400g,$6.50,$39.00,6Unit,H.Soffer
500-952,,Hot Paprika,400g,$6.50,$39.00,6Unit,H.Soffer
500-957,,Crushed Chili Flakes,400g,$6.50,$39.00,6Unit,H.Soffer
500-942,,Chicken Grill Seasoning,400g,$6.50,$39.00,6Unit,H.Soffer
"

",,,,,,,
33,,,,,,,
"
",,,,,,,
500-991,,Arabian Coffee,200g,$5.00,$100.00,20 Unit,H.Soffer
500-992,,"Arabian Coffee With  
Cardamom",200g,$5.00,$100.00,20 Unit,H.Soffer
"

",,,,,,,
EL Nakhle Coffee  ,,,,,,,
"
",,,,,,,
700-703,7290002771128,El Nakhle Roasted Coffee,8.8 oz,$5.50,$66.00,12 Unit,Badatz B.Y
700-704,7290002771111,El Nakhle Roasted Coffee  With Cardamom,8.8 oz,$5.50,$66.00,12 Unit,Badatz B.Y
700-705,875508001121,El Nakhle Espresso Coffee  With Cardamom 10 Capsules,"10  
Cap",$6.30,$63.00,10 Unit,Badatz B.Y
700-706,875508001114,El Nakhle Espresso Coffee  10 Capsules,"10  
Cap",$6.30,$63.00,10 Unit,Badatz B.Y
"

",,,,,,,
Willy Food – Egg Noodle ,,,,,,,
"
",,,,,,,
220-211,7290011587758,Egg Noodles,200g,$2.12,$51.00,24 Unit,H. Soffer
220-212,7290010259359,Curly Egg Noodles,200g,$2.12,$51.00,24 Unit,H. Soffer
220-218,7290003578290,Rice Sticks,300g,$2.75,$66.00,24 Unit,H. Soffer
"

",,,,,,,
Sushi Products ,,,,,,,
"
",,,,,,,
230-512,637951220722,"Rice Paper  
Wrappers",3.5 oz,$3.25,$39.00,12 Unit,Taitelbaum
"

",,,,,,,
34,,,,,,,
"
",,,,,,,
230-516,8938505486019,"Rice Paper  
Wrappers",250gr,$6.00,$144.00,24 Unit,B.YOSEF
230-514,,"Rice Paper  
Wrappers",10.50 oz,$6.00,$120.00,20 Unit,Taitelbaum
"

",,,,,,,
Sugat  ,,,,,,,
"
",,,,,,,
390-149,7290100700587,Bulgur,500g,$2.62,$31.50,12Unit,B.A.H.
390-138,7290003643738,Wheat,500g,$2.62,$31.50,12Unit,B.A.H.
390-148,7290100701454,Grisha,500g,$2.62,$31.50,12Unit,B.A.H.
"

",,,,,,,
Knorr ,,,,,,,
"
",,,,,,,
210-502,7290100249611,Garlic & Herb Cooking  Sauce,11oz,$5.25,$42.00,8 Unit,B.A.H.
210-503,7290100249598,Garlic & Honey Sauce,11oz,$5.25,$42.00,8 Unit,B.A.H.
210-508,7290112491527,Teriyaki Sesame,11oz,$5.25,$42.00,8 Unit,B.A.H.
210-601,7290112497031,Knorr Meatball Sauce,415gr,$5.00,$30.00,6 Unit,B.A.H.
210-504,7290100249581,Plum Sauce,11oz,$5.25,$42.00,8 Unit,B.A.H.
210-507,7290100249659,Chili Garlic,11oz,$5.25,$42.00,8 Unit,B.A.H.
"

",,,,,,,
35,,,,,,,
"
",,,,,,,
210-560,7-290003807178**,Chinese Soy Sauce,11oz,$4.75,$57.00,12 Unit,B.A.H
210-556,7290000116884,B.B.Q sauce,11 oz,$4.75,$57.00,12 Unit,B.A.H
210-557,7290112408441,KNORR ASIAN STIR FRY  SAUCE,11 oz,$4.75,$57.00,12 Unit,B.A.H
210-558,,"KNORR ASIAN GRIL  
SAUCE",11 oz,$4.75,$57.00,12 Unit,B.A.H
210-553,7-290000122830**,Sichuan Sauce,11oz,$4.75,$57.00,12 Unit,B.A.H
210-554,7290000116921,Sweet Chili Sauce,11 oz,$4.75,$57.00,12 Unit,B.A.H
210-552,7-290003807482**,Teriyaki Sauce,11oz,$4.75,$57.00,12 Unit,B.A.H
"

",,,,,,,
Knorr Tibuliot,,,,,,,
"
",,,,,,,
210-521,729003804320,Presley & Garlic,72 g,$3.50,$42.00,12 Unit,B.A.H.
210-524,7290003804252,Indian,72 g,$3.50,$42.00,12 Unit,B.A.H.
210-526,729003804638,Basil,72 g,$3.50,$42.00,12 Unit,B.A.H.
210-527,7290003804382,Mushrooms,72 g,$3.50,$42.00,12 Unit,B.A.H.
"

",,,,,,,
36,,,,,,,
"
",,,,,,,
210-528,7290000129099,Mixed Herb,72 g,$3.50,$42.00,12 Unit,Rabanut
210-525,72900003804375,Roasted Picante,2 oz,$3.50,$42.00,12 Unit,Rabanut
210-549,7290000129457,Mushroom Gravy,28 gr,$2.50,$30.00,12 Unit,B.A.H.
"

",,,,,,,
Knorr - Instant Soup,,,,,,,
"
",,,,,,,
210-482,7290100249475,Corn Soup,2x1oz,$2.50,$30.00,12 Unit,B.A.H.
210-483,7290003805730,Tomato Soup,2x1oz,$2.50,$30.00,12 Unit,Rabanut
210-484,7290100245231,"Chicken & Mini  
Mandel Soup",2x1oz,$2.50,$30.00,12 Unit,Rabanut
210-486,7290000117720,Mushroom Soup,2x1oz,$2.50,$30.00,12 Unit,B.A.H.
210-487,7290100249482,Peas Soup,2x1oz,$2.50,$30.00,12 Unit,B.A.H.
210-489,7290000169538,"Tomato & Crouton  
Soup",2x1oz,$2.50,$30.00,12 Unit,B.A.H.
210-495,7290000169521,Vegetables Crouton  Soup,2x1oz,$2.50,$30.00,12 Unit,B.A.H.
210-492,7290112490216,Chicken & Croutons,2x1oz,$2.50,$30.00,12 Unit,B.A.H.
210-493,729000113654,Light Vegetables Soup,2x1oz,$2.50,$30.00,12 Unit,Rabanut
210-499,7290107646321,Sweet Potato & Carrot  Soup,2x1oz,$2.50,$30.00,12 Unit,Rabanut
210-477,7290112493033,Xtra Vegetable Noodle  Soup,35g,$1.75,$21.00,12 Unit,
"

",,,,,,,
37,,,,,,,
"
",,,,,,,
210-478,,Xtra Chicken Noodle  Soup,35g,$1.75,$21.00,12 Unit,
210-475,7290100247815,Xtra Tomato Noodle  Soup,35g,$1.75,$21.00,12 Unit,
210-479,7290112497291,Xtra Protein Pea Soup,37g,$1.75,$21.00,12 Unit,
210-476,,Xtra MushroomNoodle  Soup,35g,$1.7,$21.00,12 Unit,
210-457,7290100247761,Tomato & Rice Soup,105g,$4.00,$40.00,10 Unit,B.A.H.
210-458,,Lentil Soup,105g,$4.00,$40.00,10 Unit,B.A.H.
210-455,7290100247785,Creamy Corn Soup,105g,$4.00,$40.00,10 Unit,B.A.H.
210-459,7290107644242,Mix Beans Soup,,$4.00,$40.00,10 Unit,B.A.H.
210-456,729000012770,Creamy Peas Soup,105g,$4.00,$40.00,10 Unit,B.A.H.
210-462,7290000112510,Mushroom Soup,105g,$4.00,$40.00,10 Unit,B.A.H.
210-465,7290107644259,"Orange Vegetables  
Soup",80g,$4.00,$40.00,10 Unit,B.A.H.
210-467,,White Beans Soup,77g,$4.00,$40.00,10 Unit,B.A.H.
210-466,,"Vegetable & Bulgur 
Soup",105g,$4.00,$40.00,10 Unit,B.A.H.
"

",,,,,,,
38,,,,,,,
"
",,,,,,,
Knorr Chicken Soup  ,,,,,,,
"
",,,,,,,
210-441,7290003804344,Chicken Soup,400g,$6.00,72.00,12 Unit,B.A.H.
210-443,7290003805402,Onion Soup,400g,$7.00,$42.00,6 Unit,B.A.H.
210-442,7290100249390,Chicken Soup Free MSG,400g,$7.00,$42.00,6 Unit,B.A.H.
210-444,7290003804351,Mushroom Soup,400g,$7.00,$42.00,6 Unit,B.A.H.
"

",,,,,,,
210-451,7290000116204,Chicken Soup,1Kg,$7.20,$72.00,10 Unit,B.A.H.
210-472,7290000117171,Chicken Soup - 10 Calories  Instant Boulion Packets,10pc,$3.00,$36.00,12 Unit,Rubin
"

",,,,,,,
Tomer ,,,,,,,
"
",,,,,,,
230-161,7290002881551,Stuffed Grape Leaves,14oz,$3.00,$72.00,24Unit,H.Soffer
230-169,7290002881568,Stuffed Grape Leaves,2kg,$10.50,$65.00,6Unit,H.Soffer
"

",,,,,,,
La Pasta – Tomato Sauces,,,,,,,
"
",,,,,,,
220-901,7290010970056,Tomato Sauce,24oz,$4.00,$48.00,12Unit,O.K.
"

",,,,,,,
39,,,,,,,
"
",,,,,,,
220-902,7290010970056,Tomato Basil Sauce,24oz,$4.00,$48.00,12Unit,O.K.
220-903,7290010970056,Tomato Garlic Sauce,24oz,$4.00,$48.00,12Unit,O.K.
220-911,7290010970056,Whole Tomato,3pk,$4.00,$32.00,8Unit,B.A.H.
220-912,7290010970056,Diced Tomato,3pk,$4.00,$32.00,8Unit,B.A.H.
220-913,7290010970056,Crushed Tomato,3pk,$4.00,$32.00,8Unit,B.A.H.
"

",,,,,,,
Abadi Cookies  ,,,,,,,
"
",,,,,,,
300-401,7290002132011,Mizrachi Cookies,500 g,$3.75,$56.25,15 Unit,B.A.H
300-402,856591000512,Middle Eastern Sesame Sticks,500 g,$3.75,$56.25,15 Unit,B.A.H
300-404,,Well Done Crispy Cookies,500 g,$25,$63.75,15 Unit,B.A.H
300-405,,Salted Abadi,500 g,$4.25,$63.75,15 Unit,B.A.H
"

",,,,,,,
Kaak – Salted Sesame Cookies,,,,,,,
"
",,,,,,,
40,,,,,,,
"
",,,,,,,
300-531,74099930001,Kaak,14oz,$5.50,$66.00,12 Unit,
300-532,740999240017,Zattar Kaak,14oz,$5.50,$66.00,12 Unit,
300-533,740999256001,Kaak Whole Wheat,13oz,$5.50,$66.00,12 Unit,
"

",,,,,,,
Lotus Biscoff  ,,,,,,,
"
",,,,,,,
350-111,5410126116953,Creamy Spread,14oz,$7.25,$90.00,12Unit,BA.H.
350-112,54101126726947,Crunchy Spread,14oz,$7.25,$90.00,12Unit,BA.H.
"

",,,,,,,
350-102,5410126716016,Lotus Cookies,250g,$4.25,"$42.50* 
*",10Unit,BA.H.
350-103,541012606182,Lotus Single Pack Cookies,312g,$7.00,$56.00,8Unit,BA.H.
350-104,541012606182**,BISCOFF LOTUS SINGLE  PACK COOKIES,279g,$7.00,$70.00,10Unit,
350-105,5410126006087,Lotus Single Pack Cookies,700g,$10.00,$70.00,7Unit,BA.H.
"

",,,,,,,
  ,,,,,,,
"
",,,,,,,
Eshbol Shalva Sweet Snack,,,,,,,
"
",,,,,,,
41,,,,,,,
"
",,,,,,,
820-101,7290000139111,Sweet Puff Wheat Shalva,3oz,$1.45,$30.45,21 unit,B.A.H.
820-111,7290000139340,Shalva Family Pack,20g,$2.00,$60.00,"10 unit 
(30pc 
/pack)",B.A.H.
820-113,7290015194082,"Vanilla Strawberry Tuti  Frutti 
10x20pk (10g) Badatz","10x20p 
k (10g)",$5.00,$50.00,10 unit,B.A.H.
820-114,7290015194044,"Vanilla Strawberry Tuti  Frutti 
10x20pk (10g) Badatz","10x20p 
k (10g)",$5.00,$50.00,10 unit,B.A.H.
820-112,7290015194068,"Strawberry Tuti Frutti 
10x20pk (10g) Badatz","10x20p 
k (10g)",$5.00,$50.00,10 unit,B.A.H.
"

",,,,,,,
Hard Candy,,,,,,,
"
",,,,,,,
800-101,,Pietolin Licorice,"$4.75 
Per lb",$10.41,$125.40,12 Unit,
800-102,,Pietolin Mint Hard Candy,"$4.75 
Per lb",$10.41,$125.40,12 Unit,
800-103,,Pietolin Eucalyputs,"$4.75 
Per lb",$10.41,$125.40,12 Unit,"Badatz  
K.F  
London"
800-111,,Matlow’s Licorice,"$3.47  
per lb",$20.83,$125.00,6Unit,"Badatz  
K.F  
London"
800-112,,Matlow’s Mint Hard Candy,"$3.47  
per lb",$20.83,$125.00,6Unit,"Badatz  
K.F  
London"
"

",,,,,,,
42,,,,,,,
"
",,,,,,,
800-113,,Matlow’s Assorted Fruit Hard  Candy,"$3.47  
per lb",$20.83,$125.00,6Unit,"Badatz  
K.F  
London"
800-101,,Pietolin Licorice Hard Candy,"$4.75 
Per lb",$10.45,$125.40,"12  
Units","Badatz  
K.F  
London"
800-102,,Pietolin Mint Hard Candy,"$4.75 
Per lb",$10.45,$125.40,"12  
Units","Badatz  
K.F  
London"
800-103,,Pietolin Eucalyptus,"$4.75  
Per lb",$10.45,$125.40,"12  
Units","Badatz  
K.F  
London"
800-104,,Pietolin Lemon Mint,"$4.75 
Per lb",$10.45,$125.40,"12  
Units","Badatz  
K.F  
London"
800-106,,Pietolin Ginger Lime,"$4.75 
Per lb",$10.45,$125.40,"12  
Units","Badatz  
K.F  
London"
800-107,,Pietolin Honey Mint,"$4.75 
Per lb",$10.45,$125.40,"12  
Units","Badatz  
K.F  
London"
800-121,,Pietolin Anise,"$4.75 
Per lb",$12.50,$125.00,"10  
Units","Badatz  
K.F  
London"
800-122,,Pietolin Cofffee,"$4.75 
Per lb",$12.50,$125.00,"10  
Units","Badatz  
K.F  
London"
"

",,,,,,,
43,,,,,,,
"
",,,,,,,
800-141,,Sugar Free Licorice,1.1 Lb,$8.25,$165.00,"20  
Units","Badatz  
K.F  
London"
800-142,,Sugar Free Mint,1.1 Lb,$8.25,$165.00,"20  
Units","Badatz  
K.F  
London"
800-143,,Sugar Free Eucalyptus,1.1 Lb,$8.25,$165.00,"20  
Units","Badatz  
K.F  
London"
800-144,,Sugar Free Assorted Fruit,1.1 Lb,$8.25,$165.00,"20  
Units","Badatz  
K.F  
London"
800-131,,Jelly Licorice,"$5.09  
per lb",$11.22,$112.20,"10  
Units",H. Soffer
800-132,,Jelly Licorice Mint,"$5.09  
per lb",$11.22,$112.20,"10  
Units",H. Soffer
800-133,,Jelly Licorice Honey,"$5.09  
per lb",$11.22,$112.20,"10  
Units",H. Soffer
800-134,,Jelly Licorice Rose Water,"$5.09  
per lb",$11.22,$112.20,"10  
Units",H. Soffer
800-135,,Jelly Licorice Cinnamon,"$5.09  
per lb",$11.22,$112.20,"10  
Units",H. Soffer
"

",,,,,,,
44,,,,,,,
"
",,,,,,,
Delaconte Chocolatiers,,,,,,,
"
",,,,,,,
360-501,8002429003800,"Surprise Milk  
Chocolate Eggs",1 Box,$2.50,$90.00,36pc,"B. Yossef 
Cholov  
Yisroel 
(Kosher for Passover)"
